Timestep,x error,y error
297,0.0,0.0
298,-0.00101549150297231,0.003544188798431769
299,0.0,0.0
300,0.0,0.0
301,0.0,0.0
302,-0.005033413818445354,0.0037419614125120404
303,0.0,0.0
304,0.0,0.0
305,0.0,0.0
306,0.0,0.0
307,0.0004003366464928604,0.006939030564645066
308,0.0,0.0
309,0.0,0.0
310,0.0,0.0
311,-0.0027049255043962717,0.0037460469401953134
312,0.0,0.0
313,0.0,0.0
314,-0.005551267368048229,0.0016160276935801576
315,0.0,0.0
316,0.0,0.0
317,0.0,0.0
318,-0.0038801878739604945,0.003180727123988092
319,0.0,0.0
320,0.0,0.0
321,0.0,0.0
322,-0.0026737085396426608,0.003989326212700206
323,0.0,0.0
324,0.0,0.0
325,-0.003057508749616744,0.001953240408052892
326,0.0,0.0
327,0.0,0.0
328,0.0,0.0
329,0.0,0.0
330,-0.005600844980104824,0.00313930177283428
331,0.0,0.0
332,0.0,0.0
333,0.0,0.0
334,-0.00020199234236528696,0.0031999807009484016
335,0.0,0.0
336,0.0,0.0
337,-0.004908537277234615,0.004715083340269821
338,0.0,0.0
339,0.0,0.0
340,0.0,0.0
341,0.0038085736208017806,-0.002784008993120146
342,0.0,0.0
343,0.0,0.0
344,0.0,0.0
345,-0.007541851909998343,0.008064412650540476
346,0.0,0.0
347,0.0,0.0
348,0.0,0.0
349,-0.0018106303759886089,0.0021218438619596824
350,0.0,0.0
351,0.0,0.0
352,0.0,0.0
353,0.0,0.0
354,-0.002534154635725372,0.0003027849975651975
355,0.0,0.0
356,0.0,0.0
357,0.0,0.0
358,0.0,0.0
359,-0.006192136849747953,0.008079584395449757
360,0.0,0.0
361,0.0,0.0
362,0.0,0.0
363,0.0,0.0
364,-0.0017757347790769984,0.00525823537825687
365,0.0,0.0
366,0.0,0.0
367,0.0,0.0
368,0.0,0.0
369,-0.0015058047048981393,-0.0012315719862110441
370,0.0,0.0
371,0.0,0.0
372,0.0,0.0
373,0.0,0.0
374,-0.007093788762688291,0.003917564446009436
375,0.0,0.0
376,0.0,0.0
377,0.0,0.0
378,-0.18552369966512572,0.16405648897292302
379,0.0,0.0
380,0.0,0.0
381,0.0,0.0
382,0.0,0.0
383,0.0017739120790416507,0.001411260946651005
384,0.0,0.0
385,0.0,0.0
386,0.0,0.0
387,0.0,0.0
388,-0.005422712770403848,0.005482260339276124
389,0.0,0.0
390,0.0,0.0
391,0.0,0.0
392,0.0010448848322539561,0.003368585590931339
393,0.0,0.0
394,-0.004814882689512245,0.005444922566436361
395,0.0,0.0
396,0.0,0.0
397,0.0,0.0
398,-0.007815492504903432,-0.004570991678419567
399,0.0,0.0
400,0.0,0.0
401,-0.0029913938137653417,0.0053329100034966714
402,0.0,0.0
403,0.0,0.0
404,0.0,0.0
405,-0.0023652048121185487,0.0035290210824694412
406,0.0,0.0
407,0.0,0.0
408,0.0,0.0
409,-0.006829360979864418,0.0012041427635933744
410,0.0,0.0
411,0.0,0.0
412,-0.0016857584394536218,0.003094966014972833
413,0.0,0.0
414,0.0,0.0
415,0.0,0.0
416,-0.0014745848859689659,-0.0009882901867790395
417,0.0,0.0
418,0.0,0.0
419,-0.005448430849462227,0.0014625941738986015
420,0.0,0.0
421,0.0,0.0
422,0.0,0.0
423,-0.005830376302892404,0.008989112174477398
424,0.0,0.0
425,0.0,0.0
426,0.0003966589739086146,0.0040459212406709355
427,0.0,0.0
428,0.0,0.0
429,0.0,0.0
430,-0.0026590291142838396,-0.0006703355123969246
431,0.0,0.0
432,0.0,0.0
433,-0.005167463824314211,0.003652115224684671
434,0.0,0.0
435,0.0,0.0
436,0.0,0.0
437,0.0,0.0
438,-0.002420284379862636,0.008828679944389961
439,0.0,0.0
440,0.0,0.0
441,0.0,0.0
442,-0.011436752489078827,-0.0003273000363837042
443,0.0,0.0
444,0.0,0.0
445,0.0,0.0
446,-0.003836112697165106,0.005433838627869392
447,0.0,0.0
448,0.0,0.0
449,-0.0006078304167793647,3.733641184844316e-05
450,0.0,0.0
